City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
burutu,5.3509,5.5076,25.23,77,94,3.89,NG,1691084413
midelt,32.6852,-4.7451,31.39,17,0,8.32,MA,1691084413
cabedelo,-6.9811,-34.8339,28.37,72,55,7.87,BR,1691084414
kuybyshev,55.4475,78.3218,19.31,90,63,4.45,RU,1691084414
shingu,33.7333,135.9833,24.17,98,12,0.82,JP,1691084415
altai,46.3722,96.2583,16.24,46,62,1.22,MN,1691084415
queenstown,-31.8976,26.8753,11.53,42,8,3.11,ZA,1691084416
gbadolite,4.2833,21.0167,23.35,90,40,2.0,CD,1691084416
chernyshevskiy,63.0128,112.4714,11.45,96,100,3.89,RU,1691084416
pimenta bueno,-11.6725,-61.1936,39.22,17,2,0.33,BR,1691084356
yoichi,43.2039,140.7703,24.17,90,87,3.59,JP,1691084417
palmerston,-12.486,130.9833,23.99,79,75,1.03,AU,1691084418
nantucket,41.2835,-70.0995,24.49,69,0,6.17,US,1691084418
nenjiang,49.1833,125.2167,19.86,44,100,3.46,CN,1691084418
arkalyk,50.2486,66.9114,21.82,61,59,4.72,KZ,1691084419
igaci,-9.5369,-36.6336,24.5,69,62,5.57,BR,1691084419
grand falls-windsor,48.9332,-55.6649,26.39,44,4,4.3,CA,1691084245
borshchiv,48.8033,26.0435,24.46,52,0,2.72,UA,1691084420
perbaungan,3.5679,98.956,26.76,87,81,1.54,ID,1691084421
quelimane,-17.8786,36.8883,19.97,88,40,5.14,MZ,1691084421
longyearbyen,78.2186,15.6401,10.91,71,75,11.83,SJ,1691084422
amnat charoen,15.9167,104.75,23.31,96,100,6.25,TH,1691084422
naftalan,40.5067,46.825,33.68,35,20,8.58,AZ,1691084422
quellon,-43.1167,-73.6167,9.14,76,75,2.57,CL,1691084423
malanje,-9.5402,16.341,24.8,18,26,1.54,AO,1691084424
hell-ville,-13.4,48.2667,26.18,68,85,2.24,MG,1691084424
yuzhno-kurilsk,44.0306,145.8556,18.62,92,99,5.81,RU,1691084425
itaituba,-4.2761,-55.9836,35.09,49,20,2.57,BR,1691084425
shache,38.4167,77.2406,27.26,28,50,3.92,CN,1691084426
bogale,16.2833,95.4,26.04,87,95,4.16,MM,1691084426
ulanhot,46.0833,122.0833,17.0,92,99,3.05,CN,1691084426
taloqan,36.7361,69.5345,29.42,20,0,2.73,AF,1691084427
horta,38.5333,-28.6333,25.8,76,20,8.23,PT,1691084427
nizhneudinsk,54.9076,99.0276,15.77,96,79,0.77,RU,1691084428
vilyuchinsk,52.9306,158.4028,12.15,81,80,2.86,RU,1691084428
lhasa,29.65,91.1,14.68,83,100,2.57,CN,1691084429
bandar-e genaveh,29.5791,50.517,39.63,22,0,5.76,IR,1691084429
nadur,36.0378,14.2942,29.52,76,0,2.78,MT,1691084430
iskushuban,10.2837,50.23,33.12,32,52,9.95,SO,1691084430
al jawf,29.5,38.75,33.33,17,0,4.97,SA,1691084430
north battleford,52.7834,-108.2847,26.05,44,0,7.2,CA,1691084431
yahyali,38.1023,35.357,25.58,31,0,2.53,TR,1691084431
monrovia,6.3005,-10.7969,25.91,81,69,5.05,LR,1691084384
guerrero negro,27.9769,-114.0611,26.16,56,2,5.42,MX,1691084432
sola,-13.8833,167.55,23.7,91,100,8.03,VU,1691084433
tamanrasset,22.785,5.5228,35.95,12,20,5.66,DZ,1691084433
kenora,49.8167,-94.4337,24.54,57,40,3.6,CA,1691084434
chibuto,-24.6867,33.5306,15.47,87,68,1.8,MZ,1691084434
mahibadhoo,3.7833,72.9667,28.21,72,41,2.02,MV,1691084434
hajjah,15.6943,43.6058,22.87,45,38,1.64,YE,1691084435
worland,44.0169,-107.9554,21.05,72,100,2.57,US,1691084161
puerto armuelles,8.2833,-82.8667,31.99,70,31,1.34,PA,1691084435
siran,40.1894,39.1267,18.61,79,2,3.11,TR,1691084436
deir ez-zor,35.3359,40.1408,37.18,20,0,5.1,SY,1691084436
gassol,8.5333,10.4667,23.98,84,86,1.96,NG,1691084437
sabang,5.8933,95.3214,28.3,76,98,7.01,ID,1691084437
kailua-kona,19.6406,-155.9956,25.98,80,75,0.45,US,1691084438
mercedes,-34.6515,-59.4307,13.35,33,26,3.78,AR,1691084438
praya,14.9215,-23.5087,28.3,69,20,4.63,CV,1691084439
touros,-5.1989,-35.4608,25.96,76,14,11.81,BR,1691084439
pacific grove,36.6177,-121.9166,20.21,77,0,4.12,US,1691084439
puerto colombia,10.9878,-74.9547,34.05,72,3,7.67,CO,1691084440
eirunepe,-6.6603,-69.8736,36.58,32,81,1.42,BR,1691084440
yandev,7.3667,9.05,23.89,86,97,2.12,NG,1691084440
varzea da palma,-17.5981,-44.7308,31.97,16,2,0.89,BR,1691084441
san andres,12.5847,-81.7006,31.01,74,20,5.14,CO,1691084441
acapulco de juarez,16.8634,-99.8901,28.9,74,100,1.54,MX,1691084356
soto la marina,23.7667,-98.2167,38.14,30,39,5.12,MX,1691084442
rumoi,43.9344,141.6428,23.18,87,65,3.75,JP,1691084442
uvarovo,51.9849,42.2615,23.45,62,5,1.84,RU,1691084443
port macquarie,-31.4333,152.9167,9.94,98,11,0.97,AU,1691084388
ha tinh,18.3333,105.9,25.42,86,99,1.96,VN,1691084443
puerto maldonado,-12.6,-69.1833,32.22,58,20,1.54,PE,1691084444
mooloolaba,-26.6833,153.1167,15.72,97,96,0.89,AU,1691084444
kidal,18.4411,1.4078,40.44,19,58,2.66,ML,1691084445
la mitra,8.8422,-79.7867,33.49,89,44,3.58,PA,1691084445
castillos,-34.1667,-53.8333,11.83,56,95,3.94,UY,1691084445
malango,-2.9627,119.9001,18.34,90,12,0.83,ID,1691084446
lazaro cardenas,17.9583,-102.2,28.6,78,99,1.98,MX,1691084446
springfield,37.2153,-93.2982,32.92,49,0,7.72,US,1691084329
zalingei,12.9096,23.4741,21.29,92,98,7.91,SD,1691084447
nova xavantina,-14.6667,-52.35,36.01,15,0,1.82,BR,1691084447
santiago de cao,-7.9589,-79.2392,23.07,73,21,4.63,PE,1691084448
ilhabela,-23.7781,-45.3581,24.92,59,0,1.36,BR,1691084448
al kharj,24.155,47.3346,41.32,8,4,4.47,SA,1691084214
puerto san jose,13.9256,-90.8244,31.39,60,57,3.07,GT,1691084284
dixon,38.4455,-121.8233,23.6,56,0,2.06,US,1691084449
aswan,24.0934,32.907,41.61,11,0,4.12,EG,1691084450
kalemie,-5.9475,29.1947,23.97,63,99,3.21,CD,1691084450
smithers,54.7804,-127.1743,16.18,67,0,1.03,CA,1691084451
morris,40.8334,-74.5329,25.5,61,75,4.63,US,1691084315
as saffaniyah,27.9708,48.73,39.24,12,0,4.51,SA,1691084451
la maddalena,41.2142,9.4083,30.09,79,0,8.08,IT,1691084452
durango,24.8333,-104.8333,27.12,27,0,5.15,MX,1691083843
igoumenitsa,39.5039,20.2656,28.81,69,0,1.26,GR,1691084453
huyuk,37.9539,31.5964,25.29,32,0,3.03,TR,1691084453
concepcion,-36.827,-73.0498,11.89,50,0,4.63,CL,1691084420
chernyshevsk,52.5243,117.0174,14.92,52,100,2.39,RU,1691084454
nogliki,51.8333,143.1667,11.24,92,38,4.15,RU,1691084454
ylitornio,66.3089,23.6773,17.66,80,91,1.19,FI,1691084455
greymouth,-42.4667,171.2,4.68,80,18,2.05,NZ,1691084455
narvik,68.4384,17.4272,19.03,73,71,1.95,NO,1691084456
laguna,38.421,-121.4238,25.99,57,0,4.63,US,1691084456
nadym,65.5333,72.5167,22.11,63,3,4.95,RU,1691084457
mossendjo,-2.9506,12.7261,25.7,53,76,0.95,CG,1691084457
semey,50.4111,80.2275,22.65,58,28,2.13,KZ,1691084458
dwarka,22.2394,68.9678,27.29,84,100,9.05,IN,1691084458
zouerate,22.7187,-12.4521,43.59,7,4,7.76,MR,1691084458
ovruch,51.3246,28.8035,21.47,69,38,1.86,UA,1691084459
sibolga,1.7427,98.7792,25.33,83,100,1.34,ID,1691084459
brezina,33.0989,1.2608,39.17,8,0,4.76,DZ,1691084460
pauini,-7.7136,-66.9764,37.64,27,6,1.39,BR,1691084460
fale old settlement,-9.3852,-171.2468,28.37,71,65,7.83,TK,1691084461
ambon,-3.6954,128.1814,29.02,100,66,4.38,ID,1691084399
prince rupert,54.3161,-130.3201,15.05,95,0,1.03,CA,1691084211
sal rei,16.1833,-22.9167,30.11,62,75,5.14,CV,1691084462
gemena,3.25,19.7667,22.27,98,81,1.13,CD,1691084463
uttar char fasson,22.2332,90.7132,28.22,87,100,6.73,BD,1691084464
kokpekty,48.75,82.4,18.19,70,58,1.12,KZ,1691084465
nombre de dios,23.85,-104.2333,26.75,28,8,2.78,MX,1691084465
amga,60.8953,131.9608,15.1,63,100,0.77,RU,1691084466
cadale,2.7603,46.3222,24.92,84,59,9.21,SO,1691084467
samfya,-11.3649,29.5565,19.31,43,13,5.66,ZM,1691084467
la passe,45.5549,-0.8967,20.13,75,70,7.66,FR,1691084468
kruisfontein,-34.0033,24.7314,19.94,39,22,4.01,ZA,1691084469
chos malal,-37.3781,-70.2709,13.47,43,65,0.5,AR,1691084469
karatas,36.582,35.3701,29.36,72,0,3.0,TR,1691084470
tayu,-6.5397,111.0518,24.58,80,10,3.76,ID,1691084470
sao vicente,-23.9631,-46.3919,33.1,54,0,3.6,BR,1691084470
meadow lake,34.8014,-106.5436,31.49,32,2,4.06,US,1691084471
zavetnoye,47.1194,43.8903,28.75,42,85,3.31,RU,1691084471
portland,45.5234,-122.6762,25.34,63,40,3.09,US,1691084220
dezhou,37.4486,116.2925,28.59,76,22,5.6,CN,1691084472
misratah,32.3754,15.0925,29.43,60,0,5.88,LY,1691084473
nova vicosa,-17.8919,-39.3719,28.92,42,0,0.99,BR,1691084473
idri,27.5,13.2667,36.92,13,9,4.57,LY,1691084473
starobesheve,47.7504,38.0305,24.84,53,49,1.63,UA,1691084474
padang,-0.9492,100.3543,25.25,87,96,1.62,ID,1691084475
dzhambeyty,50.2536,52.595,26.78,37,85,3.22,KZ,1691084475
kegen,43.0197,79.2203,16.88,32,2,3.73,KZ,1691084476
mormugao,15.4,73.8,25.59,94,75,3.09,IN,1691084476
altinyayla,39.2725,36.751,20.88,58,1,4.06,TR,1691084477
turpan,42.9333,89.1667,38.32,19,100,8.13,CN,1691084477
tarko-sale,64.9225,77.785,24.73,52,23,4.53,RU,1691084477
sint michiel liber,12.15,-68.9833,31.9,66,40,5.14,CW,1691084478
santo antonio do ica,-3.1022,-67.9397,32.39,53,56,0.19,BR,1691084479
balabac,7.9868,117.0645,27.25,82,100,2.01,PH,1691084479
ketchikan,55.3422,-131.6461,15.26,88,40,2.06,US,1691084480
usogorsk,63.4106,48.6872,20.36,64,92,1.11,RU,1691084480
serres,41.0856,23.5497,28.56,46,0,1.96,GR,1691084480
longjiang,47.3303,123.1836,16.38,97,100,3.1,CN,1691084481
namtsy,62.7161,129.6658,12.22,69,2,1.9,RU,1691084481
mtsensk,53.2766,36.5733,23.37,67,98,2.51,RU,1691084482
san matias,-16.3667,-58.4,39.17,15,0,1.1,BO,1691084482
fort-shevchenko,44.5086,50.263,27.88,68,1,10.0,KZ,1691084482
chui,-33.6971,-53.4616,12.18,58,84,4.3,UY,1691084483
sant antoni de portmany,38.9807,1.3036,29.65,77,20,5.66,ES,1691084484
fortaleza,-3.7227,-38.5247,30.07,58,20,6.69,BR,1691084219
wuhai,39.6647,106.8122,24.04,51,84,8.09,CN,1691084485
maintirano,-18.0667,44.0167,23.18,79,1,2.71,MG,1691084485
kayangel,8.0823,134.7173,27.59,74,100,2.29,PW,1691084486
amahai,-3.3333,128.9167,26.72,92,72,1.21,ID,1691084486
georgievka,49.3314,81.5761,18.22,75,100,1.89,KZ,1691084486
minas de marcona,-15.2119,-75.1103,18.71,50,30,3.74,PE,1691084487
bonthe,7.5264,-12.505,24.7,91,100,4.17,SL,1691084487
gamba,-2.65,10.0,21.13,82,50,3.01,GA,1691084488
oakdale,44.963,-92.9649,32.99,59,0,3.09,US,1691084424
